大專校院各校科系別概況										
105 學年度 SY2016-2017										
學校代碼	學校名稱	科系代碼	科系名稱	日間∕進修別	等級別	學生數	教師數	上學年度畢業生數	縣市名稱	體系別
0005	國立成功大學	340307	國際企業(與)(管理)學系	D 日	M 碩士	66	4	25	21 臺南市	1 一般
0005	國立成功大學	340310	國際(經營)(專業)管理學位學程(含IMBA)	D 日	M 碩士	99	7	31	21 臺南市	1 一般
0005	國立成功大學	340501	(計量)(數量)財務金融學系	D 日	M 碩士	50	5	28	21 臺南市	1 一般
0005	國立成功大學	340501	(計量)(數量)財務金融學系	N 職	M 碩士	126	0	56	21 臺南市	1 一般
0005	國立成功大學	349908	工業與資訊管理學系	D 日	M 碩士	89	0	38	21 臺南市	1 一般
0005	國立成功大學	349908	工業與資訊管理學系	D 日	B 學士	248	15	54	21 臺南市	1 一般
0005	國立成功大學	580301	都市計劃(與景觀建築)學系	D 日	B 學士	202	16	50	21 臺南市	1 一般
0005	國立成功大學	720101	醫學系	D 日	B 學士	548	132	67	21 臺南市	1 一般
0005	國立成功大學	720116	基礎醫學研究所	D 日	D 博士	124	3	27	21 臺南市	1 一般
0005	國立成功大學	720216	環境醫學研究所	D 日	M 碩士	64	10	21	21 臺南市	1 一般
0005	國立成功大學	720401	物理治療系	D 日	B 學士	140	10	28	21 臺南市	1 一般
0005	國立成功大學	720402	職能治療學系	D 日	B 學士	119	11	34	21 臺南市	1 一般
0005	國立成功大學	720601	護理學系	D 日	M 碩士	91	0	23	21 臺南市	1 一般
0006	國立中興大學	480109	資訊管理(技術)學系	D 日	B 學士	156	11	35	19 臺中市	1 一般
0006	國立中興大學	520101	電機(與控制)工程學系	D 日	M 碩士	159	0	56	19 臺中市	1 一般
0006	國立中興大學	520101	電機(與控制)工程學系	D 日	B 學士	380	24	87	19 臺中市	1 一般
0006	國立中興大學	520119	資訊科學與工程學系	D 日	M 碩士	128	0	43	19 臺中市	1 一般
0006	國立中興大學	520119	資訊科學與工程學系	D 日	B 學士	179	18	45	19 臺中市	1 一般
0006	國立中興大學	520201	(動力)機械工程學系	D 日	M 碩士	177	0	76	19 臺中市	1 一般
0006	國立中興大學	520201	(動力)機械工程學系	D 日	B 學士	395	29	78	19 臺中市	1 一般
0006	國立中興大學	520237	精密(機電)工程研究所	D 日	M 碩士	43	7	22	19 臺中市	1 一般
0006	國立中興大學	520239	生物(產業)機電工程學系	D 日	M 碩士	45	0	22	19 臺中市	1 一般
0006	國立中興大學	520239	生物(產業)機電工程學系	D 日	B 學士	219	17	52	19 臺中市	1 一般
0006	國立中興大學	520301	土木工程學系	D 日	M 碩士	138	0	67	19 臺中市	1 一般
0006	國立中興大學	520301	土木工程學系	D 日	B 學士	415	27	86	19 臺中市	1 一般
0006	國立中興大學	520301	土木工程學系	N 職	M 碩士	72	0	25	19 臺中市	1 一般
0006	國立中興大學	520401	化學工程學系	D 日	M 碩士	109	0	55	19 臺中市	1 一般
0006	國立中興大學	520401	化學工程學系	D 日	B 學士	199	16	54	19 臺中市	1 一般
0006	國立中興大學	520502	材料科學(與)(工程)學系	D 日	M 碩士	104	0	51	19 臺中市	1 一般
0006	國立中興大學	520502	材料科學(與)(工程)學系	D 日	B 學士	190	19	45	19 臺中市	1 一般
0006	國立中興大學	520901	環境工程學系	D 日	M 碩士	84	0	42	19 臺中市	1 一般
0006	國立中興大學	520901	環境工程學系	D 日	B 學士	211	14	52	19 臺中市	1 一般
0006	國立中興大學	520901	環境工程學系	N 職	M 碩士	83	0	21	19 臺中市	1 一般
0006	國立中興大學	620102	農藝學系	D 日	M 碩士	62	0	20	19 臺中市	1 一般
0006	國立中興大學	620102	農藝學系	D 日	B 學士	219	13	42	19 臺中市	1 一般
0006	國立中興大學	620203	動物科學(技術)學系	D 日	M 碩士	64	0	32	19 臺中市	1 一般
0006	國立中興大學	620203	動物科學(技術)學系	D 日	B 學士	199	14	45	19 臺中市	1 一般
0006	國立中興大學	620301	園藝學系	D 日	M 碩士	71	0	31	19 臺中市	1 一般
0006	國立中興大學	620301	園藝學系	D 日	B 學士	181	13	44	19 臺中市	1 一般
0006	國立中興大學	620402	植物病理(與微生物)學系	D 日	B 學士	211	16	45	19 臺中市	1 一般
0006	國立中興大學	620512	生物產業管理系	P 進	B 學士	212	0	44	19 臺中市	1 一般
0006	國立中興大學	620514	國際農企業學位學程	D 日	B 學士	94	2	26	19 臺中市	1 一般
0006	國立中興大學	620605	食品暨應用生物科技學系	D 日	M 碩士	93	0	34	19 臺中市	1 一般
0006	國立中興大學	620605	食品暨應用生物科技學系	D 日	B 學士	209	16	55	19 臺中市	1 一般
0006	國立中興大學	620701	水土保持學系	D 日	M 碩士	58	0	29	19 臺中市	1 一般
0006	國立中興大學	620701	水土保持學系	D 日	B 學士	238	14	58	19 臺中市	1 一般
0006	國立中興大學	620701	水土保持學系	N 職	M 碩士	55	0	21	19 臺中市	1 一般
0006	國立中興大學	620802	土壤環境科學學系	D 日	B 學士	223	16	48	19 臺中市	1 一般
0006	國立中興大學	621001	森林(暨)(自然保育)(自然資源)學系	D 日	M 碩士	50	0	29	19 臺中市	1 一般
0007	國立交通大學	460102	應用數學系	D 日	B 學士	217	28	61	18 新竹市	1 一般
0007	國立交通大學	460201	統計(科學)(資訊)學系	D 日	M 碩士	47	9	24	18 新竹市	1 一般
0007	國立交通大學	480303	多媒體工程研究所	D 日	M 碩士	133	7	41	18 新竹市	1 一般
0007	國立交通大學	520101	電機(與控制)工程學系	D 日	M 碩士	143	0	33	18 新竹市	1 一般
0007	國立交通大學	520101	電機(與控制)工程學系	D 日	B 學士	733	40	173	18 新竹市	1 一般
0007	國立交通大學	520103	(微)電子(工程)學系	D 日	D 博士	175	0	29	18 新竹市	1 一般
0007	國立交通大學	520103	(微)電子(工程)學系	D 日	M 碩士	511	0	168	18 新竹市	1 一般
0007	國立交通大學	520103	(微)電子(工程)學系	D 日	B 學士	352	56	76	18 新竹市	1 一般
0007	國立交通大學	520106	光電(科學與)工程學系	D 日	M 碩士	222	0	62	18 新竹市	1 一般
0007	國立交通大學	520106	光電(科學與)工程學系	D 日	B 學士	153	22	37	18 新竹市	1 一般
0007	國立交通大學	520114	資訊工程學系	D 日	B 學士	788	24	187	18 新竹市	1 一般
0007	國立交通大學	520117	(資訊)網路工程系	D 日	M 碩士	128	7	43	18 新竹市	1 一般
0007	國立交通大學	520119	資訊科學與工程學系	D 日	D 博士	176	0	22	18 新竹市	1 一般
0007	國立交通大學	520119	資訊科學與工程學系	D 日	M 碩士	406	28	128	18 新竹市	1 一般
0007	國立交通大學	520123	電信工程學系	D 日	M 碩士	252	18	107	18 新竹市	1 一般
0007	國立交通大學	520170	電控工程研究所	D 日	M 碩士	215	15	69	18 新竹市	1 一般
0007	國立交通大學	520171	光電系統研究所	D 日	M 碩士	77	6	30	18 新竹市	1 一般
0007	國立交通大學	520196	電機(資訊)學院	N 職	M 碩士	131	0	33	18 新竹市	1 一般
0007	國立交通大學	520198	電機資訊學位學程	D 日	M 碩士	67	0	26	18 新竹市	1 一般
0007	國立交通大學	520198	電機資訊學位學程	D 日	B 學士	113	0	23	18 新竹市	1 一般
0007	國立交通大學	520201	(動力)機械工程學系	D 日	M 碩士	276	0	98	18 新竹市	1 一般
0007	國立交通大學	520201	(動力)機械工程學系	D 日	B 學士	424	28	93	18 新竹市	1 一般
0007	國立交通大學	520301	土木工程學系	D 日	M 碩士	212	0	94	18 新竹市	1 一般
0007	國立交通大學	520301	土木工程學系	D 日	B 學士	326	28	71	18 新竹市	1 一般
0007	國立交通大學	520502	材料科學(與)(工程)學系	D 日	D 博士	165	0	28	18 新竹市	1 一般
0008	國立中央大學	440301	物理學系	D 日	B 學士	219	32	57	03 桃園市	1 一般
0008	國立中央大學	440401	大氣科學系	D 日	B 學士	302	13	67	03 桃園市	1 一般
0008	國立中央大學	440603	太空科學研究所	D 日	M 碩士	33	13	21	03 桃園市	1 一般
0008	國立中央大學	449999	理學院(不分系)	D 日	B 學士	74	0	22	03 桃園市	1 一般
0008	國立中央大學	460101	數學系	D 日	M 碩士	68	0	20	03 桃園市	1 一般
0008	國立中央大學	460101	數學系	D 日	B 學士	302	31	67	03 桃園市	1 一般
0008	國立中央大學	480109	資訊管理(技術)學系	D 日	M 碩士	110	0	50	03 桃園市	1 一般
0008	國立中央大學	480109	資訊管理(技術)學系	D 日	B 學士	416	20	96	03 桃園市	1 一般
0009	國立中山大學	340301	企業管理學系	D 日	B 學士	375	26	87	50 高雄市	1 一般
0009	國立中山大學	340310	國際(經營)(專業)管理學位學程(含IMBA)	D 日	M 碩士	114	2	32	50 高雄市	1 一般
0009	國立中山大學	340504	(應用)財務(金融)管理學系	D 日	M 碩士	84	0	40	50 高雄市	1 一般
0009	國立中山大學	340504	(應用)財務(金融)管理學系	D 日	B 學士	211	15	47	50 高雄市	1 一般
0009	國立中山大學	349919	人力資源管理(與發展)學系	D 日	M 碩士	114	11	48	50 高雄市	1 一般
0009	國立中山大學	349919	人力資源管理(與發展)學系	N 職	M 碩士	139	0	33	50 高雄市	1 一般
0009	國立中山大學	349939	高階(主管)(經營)(企業)管理碩士(EMBA)	N 職	M 碩士	236	0	100	50 高雄市	1 一般
0009	國立中山大學	420101	生物(科)學系	D 日	B 學士	204	16	49	50 高雄市	1 一般
0009	國立中山大學	440101	化學系	D 日	M 碩士	83	0	49	50 高雄市	1 一般
0009	國立中山大學	440101	化學系	D 日	B 學士	215	22	48	50 高雄市	1 一般
